sample_id,repository_url,category,description,notes
0,https://github.com/eriklindernoren/ML-From-Scratch,Category 1: From Scratch,Bare bones NumPy implementations of ML models from linear regression to deep learning,"Excellent code structure, clear separation of concerns, well-documented"
1,https://github.com/hyunwoongko/transformer,Category 1: From Scratch,Clean PyTorch implementation of Transformer (Attention Is All You Need),"Excellent code clarity, well-structured, educational"
2,https://github.com/karpathy/minbpe,Category 1: From Scratch,Minimal BPE tokenizer implementation,"Clean code by Karpathy, minimal dependencies, educational"
3,https://github.com/karpathy/nanoGPT,Category 1: From Scratch,Simplest GPT implementation for training,"Extremely clean, self-contained, perfect for learning"
4,https://github.com/karpathy/micrograd,Category 1: From Scratch,Tiny autograd engine with neural nets,"Only stdlib, educational masterpiece, very small"
5,https://github.com/karpathy/minGPT,Category 1: From Scratch,Minimal GPT implementation in PyTorch,"Clean architecture, well-documented, medium size"
6,https://github.com/geohot/tinygrad,Category 1: From Scratch,Simple deep learning framework from scratch,"Minimal dependencies, framework implementation"
7,https://github.com/yunjey/pytorch-tutorial,Category 1: From Scratch,PyTorch tutorial with clean examples,"Educational, clear code structure, various models"
8,https://github.com/eriklindernoren/PyTorch-GAN,Category 1: From Scratch,Minimal PyTorch GAN implementations,"Collection of GAN models, very clean"
9,https://github.com/TheAlgorithms/Python,Category 3: Algorithms,Comprehensive collection of algorithms in Python,"Massive collection, well-organized, community-driven"
10,https://github.com/keon/algorithms,Category 3: Algorithms,Minimal and clean implementations of data structures and algorithms,"Extremely clean code, minimal dependencies, excellent for learning"
11,https://github.com/dennybritz/reinforcement-learning,Category 4: Scientific Computing,"RL algorithms with OpenAI Gym, TensorFlow, exercises and solutions","Comprehensive learning resource, well-documented"
12,https://github.com/ahmedfgad/GeneticAlgorithmPython,Category 4: Scientific Computing,PyGAD - comprehensive genetic algorithm library,"Supports Keras, PyTorch, well-documented"
13,https://github.com/pymc-devs/pymc,Category 4: Scientific Computing,Bayesian modeling and probabilistic programming,"MCMC implementations, statistical models"
14,https://github.com/davidhalter/parso,Category 5: Small Frameworks,Python parser supporting error recovery,"Used by Jedi, supports multiple Python versions"
15,https://github.com/eliben/pycparser,Category 5: Small Frameworks,Complete C99 parser in pure Python,"Used by CFFI, no external dependencies"
16,https://github.com/lark-parser/lark,Category 5: Small Frameworks,Parsing toolkit for Python,"LALR(1) and Earley parsers, pure Python"
17,https://github.com/pallets/click,Category 5: Small Frameworks,Command line interface creation kit,"Clean CLI framework, well-architected"
18,https://github.com/pallets/jinja,Category 5: Small Frameworks,Template engine for Python,Clean template parsing and rendering
19,https://github.com/tiangolo/fastapi,Category 5: Small Frameworks,Modern async web framework,"Clean async patterns, type hints, well-designed"
20,https://github.com/pydantic/pydantic,Category 5: Small Frameworks,Data validation using type hints,"Clean validation logic, type-driven"
21,https://github.com/explosion/spaCy,Category 2: Domain Specific,Industrial-strength NLP library,"High-quality NLP pipelines, well-architected"
22,https://github.com/scrapy/scrapy,Category 2: Domain Specific,Web crawling and scraping framework,"Excellent architecture, async spiders"
23,https://github.com/Girrajjangid/Machine-Learning-from-Scratch,Category 1: From Scratch,ML algorithms from scratch with Jupyter demos and mathematical explanations,"Interactive notebooks, good for understanding implementations"
24,https://github.com/jadore801120/attention-is-all-you-need-pytorch,Category 1: From Scratch,PyTorch implementation of Transformer with training support,Complete implementation with training pipeline
25,https://github.com/juho-lee/set_transformer,Category 1: From Scratch,Set Transformer implementation,"Research paper implementation, clean code"
26,https://github.com/karpathy/pytorch-made,Category 1: From Scratch,MADE autoregressive model implementation,Clean implementation of density estimation
27,https://github.com/karpathy/pytorch-normalizing-flows,Category 1: From Scratch,Normalizing flows in PyTorch,Clear implementation of generative models
28,https://github.com/joeynmt/joeynmt,Category 1: From Scratch,Minimalist NMT toolkit,Clean neural machine translation code
29,https://github.com/kuangliu/pytorch-cifar,Category 1: From Scratch,CIFAR models in PyTorch playground,Clean implementations of vision models
30,https://github.com/lucidrains/vit-pytorch,Category 1: From Scratch,Vision Transformer implementations,"Clean ViT implementations, well-organized"
31,https://github.com/lucidrains/x-transformers,Category 1: From Scratch,Experimental transformer architectures,"Advanced transformer variants, clean code"
32,https://github.com/eriklindernoren/PyTorch-YOLOv3,Category 2: Domain Specific,Minimal PyTorch YOLOv3 implementation,Clean object detection code
33,https://github.com/johnnycode8/gym_solutions,Category 4: Scientific Computing,Gymnasium RL environments solutions with YouTube tutorials,"Step-by-step tutorials, beginner-friendly"
34,https://github.com/rmsolgi/geneticalgorithm,Category 4: Scientific Computing,Genetic algorithm package for Python,"Handles continuous, discrete, mixed variables"
35,https://github.com/ericmjl/Network-Analysis-Made-Simple,Category 4: Scientific Computing,Network analysis tutorial with NetworkX,Educational resource with workshops
36,https://github.com/pallets/werkzeug,Category 5: Small Frameworks,WSGI utility library,"HTTP utilities, well-structured"
37,https://github.com/encode/starlette,Category 5: Small Frameworks,Async web framework toolkit,"Lightweight ASGI framework, clean code"
